minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6329658326503639,34.03004321083486,14.340469730714918,38.72485603739951,10.393857375314868,19.80021889549081,15.847204644633761,33.95935938479266
0,Marvin the Martian,0.6196958488933854,34.139725292060696,15.13424236010528,35.67095957657468,6.950589780084767,26.09053427314878,10.591532878738567,20.61621035587567
0,Road Runner,0.6221536077684955,26.573528375660427,13.269819555146952,35.83461929136507,6.051611714791884,28.381992791813765,10.829785191154892,20.283912419753054
0,Foghorn Leghorn,0.6186403584073504,36.599153370645155,15.190895005566892,34.28121730216648,4.041696914621445,19.09314807768534,15.571560781111597,31.911559284619823
0,Bugs Bunny,0.6291667922677625,31.44410097635901,15.795472639587768,31.44227192801795,7.184518181947655,15.795599301137095,13.482344058535865,28.320928371657157
0,Elmer Fudd,0.6274831448611293,27.546497899174955,15.281549213052932,39.89232421680028,4.975823878151206,22.99919825281217,16.067701393638842,32.8700445275295
0,Lola Bunny,0.6198953893589323,29.635890789303993,13.80110439995748,34.49593735042923,4.579654129206515,19.899107288461288,16.268181786550475,32.53238575388406
0,Porky Pig,0.615447891007229,31.20050091865937,16.195992072402298,35.46367894341186,6.668826487716742,21.400318575440686,12.40314866628318,24.861319388509155
0,Tasmanian Devil,0.6086097536996988,27.22418485525685,15.610529213349292,37.6485012958524,4.670135212881367,27.71032652877234,7.441189713398458,15.420494617470343
0,Gossamer,0.6099111167462979,34.5255290074916,16.13907401246351,35.75719946041701,6.7460919013779215,16.783421984356192,10.560228431199253,25.36287027089804
0,Granny,0.6078836794312382,28.02327800969923,14.21635886175288,33.7445337584937,4.8186281132665245,21.535450066550776,14.211734044597092,27.08048148742949
0,Wile E. Coyote,0.6136336840258931,31.626157251086433,14.688096554651391,33.56613543324226,5.433222718148368,23.002542638030782,13.456707478320011,25.28197538534216
0,Tweety,0.6090904075772035,27.79822991380031,13.562450357644108,35.93329792610052,6.263130595200527,29.58506384318787,12.419925882361287,20.965652962033314
0,Penelope,0.6121599750996481,23.25284182568802,15.748349185711614,31.039992431448358,7.5441697459064985,15.287692099046486,13.491007108085267,26.568296085511204
0,Daffy Duck,0.6208953527840393,27.518980644045033,14.95788351610446,31.451280468549268,5.77579391184137,21.638442683409043,15.29840486603343,27.19019123924242
12,Sylvester,0.6230027520168393,32.344992548387665,16.904093366549272,35.204995977625956,8.924215008436104,18.946031392339684,11.84655115069377,25.03687809975396
12,Marvin the Martian,0.6017708057362604,34.289198228435744,14.71004852040635,32.39681837948586,8.731756433131732,27.173940334063147,15.51280384407299,23.59761145801907
12,Road Runner,0.6090291629122916,30.847503442957343,12.950831778800648,36.63412863210639,6.058649411605691,24.012729456409502,14.711646005504694,28.706236581379354
12,Foghorn Leghorn,0.6146206225601045,33.22162643633291,15.905371883873194,35.29276564969755,5.422186930213499,17.095622273981338,17.254525470082964,34.78589517859788
12,Bugs Bunny,0.6500096767061503,30.419648193490634,16.439089584431922,31.930241530145732,7.208024650454436,18.886252952111516,12.769935685749067,26.432307171655676
12,Elmer Fudd,0.6283160730891719,35.27293898100008,14.247520664214045,34.29385203647439,7.344439485645746,19.324507301790256,14.018309294769699,29.735874328178316
12,Lola Bunny,0.6335847343912193,34.8828472008158,12.881588361042834,38.749488122652096,4.38105554183212,24.887602465821647,18.235202726303392,36.57749881673506
12,Porky Pig,0.603541864101973,27.901917109833487,15.903660598356115,34.41827892061633,5.403725429375302,22.427380905938065,14.021224077863721,25.32261891952997
12,Tasmanian Devil,0.5973462812850547,28.432703893289087,14.568311832202625,35.58499358194115,5.81231375159539,22.06271385958443,7.897258199034862,18.086163123096018
12,Gossamer,0.6309776377161461,33.67120334849437,15.491449557455457,34.960386857203275,7.208693100619522,10.258411955685501,11.428519014831565,31.492569630192154
12,Granny,0.6038166329668795,27.267595866113012,13.920241056185628,36.6240983412782,6.918147984794701,20.62972090265264,16.588801153881143,31.997615119306598
12,Wile E. Coyote,0.622572273910825,29.672181216160947,13.241618412801222,33.21363815631772,5.865584281949499,19.760040308183157,13.36106696853344,27.959438849795685
12,Tweety,0.5923557101076231,27.155219554282255,12.27537886542494,35.27505353844934,7.377691399003741,26.23363336520778,13.276667668356314,23.25627779291963
12,Penelope,0.6140715205853189,27.758940278243085,15.064814985862586,32.608446465472746,8.632349161774078,14.697186005788309,12.262279154914847,26.827009957022806
12,Daffy Duck,0.6211721463877072,32.135676957146515,15.995834592018104,34.190714137525696,6.764624878180194,24.491762649901847,15.53513082235222,27.036558455047665
24,Sylvester,0.6220594296347436,28.058144282431943,15.166129571885914,34.094291551622746,8.264744736237567,21.519861523433338,14.33989281220475,26.89496244817691
